usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,VIDEODISC,2015,6,70,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,8,43,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,10,38,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,11,43,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,12,42,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,4,179,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,5,176,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,6,155,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,9,76,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,11,54,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2016,12,85,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2017,1,310,Commonwealth : a novel / Ann Patchett.,,"Patchett, Ann","Family secrets Fiction, Domestic fiction","Harper, an imprint of HarperCollinsPublishers,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2017,3,286,Commonwealth : a novel / Ann Patchett.,,"Patchett, Ann","Family secrets Fiction, Domestic fiction","Harper, an imprint of HarperCollinsPublishers,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2017,4,226,Commonwealth : a novel / Ann Patchett.,,"Patchett, Ann","Family secrets Fiction, Domestic fiction","Harper, an imprint of HarperCollinsPublishers,",[2016],balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2017,5,163,Commonwealth : a novel / Ann Patchett.,,"Patchett, Ann","Family secrets Fiction, Domestic fiction","Harper, an imprint of HarperCollinsPublishers,",[2016],balanced_by_year_and_usageclass
